Transcript stable ID	Protein stable ID
ENSDART00000104612	ENSDARP00000095383
ENSDART00000104613	ENSDARP00000095384
ENSDART00000104657	ENSDARP00000095428
ENSDART00000104659	ENSDARP00000095430
ENSDART00000104686	ENSDARP00000095457
ENSDART00000104693	ENSDARP00000095464
ENSDART00000104701	ENSDARP00000095472
ENSDART00000104715	ENSDARP00000095486
ENSDART00000104717	ENSDARP00000095488
ENSDART00000104718	ENSDARP00000095489
ENSDART00000104719	ENSDARP00000095490
ENSDART00000104720	ENSDARP00000095491
ENSDART00000104724	ENSDARP00000095494
ENSDART00000104731	ENSDARP00000095501
ENSDART00000104757	ENSDARP00000095527
ENSDART00000104774	ENSDARP00000095544
ENSDART00000104806	ENSDARP00000095576
ENSDART00000104807	ENSDARP00000095577
ENSDART00000104874	ENSDARP00000095644
ENSDART00000104875	ENSDARP00000095645
ENSDART00000104895	ENSDARP00000095665
ENSDART00000104977	ENSDARP00000095747
ENSDART00000104978	ENSDARP00000095748
ENSDART00000104999	ENSDARP00000095769
ENSDART00000105013	ENSDARP00000095783
ENSDART00000105021	ENSDARP00000095791
ENSDART00000105036	ENSDARP00000095806
ENSDART00000105040	ENSDARP00000095811
ENSDART00000105064	ENSDARP00000095835
ENSDART00000105101	ENSDARP00000095872
ENSDART00000105120	ENSDARP00000095891
ENSDART00000105133	ENSDARP00000095904
ENSDART00000105135	ENSDARP00000095906
ENSDART00000105140	ENSDARP00000095911
ENSDART00000105174	ENSDARP00000095945
ENSDART00000105179	ENSDARP00000095950
ENSDART00000105218	ENSDARP00000095989
ENSDART00000105222	
ENSDART00000105232	ENSDARP00000096003
ENSDART00000105283	ENSDARP00000096054
ENSDART00000105284	ENSDARP00000096055
ENSDART00000105286	ENSDARP00000096057
ENSDART00000105292	ENSDARP00000096063
ENSDART00000105309	ENSDARP00000096080
ENSDART00000105322	ENSDARP00000096094
ENSDART00000105323	ENSDARP00000096095
ENSDART00000105344	ENSDARP00000096116
ENSDART00000105399	ENSDARP00000096172
ENSDART00000105418	ENSDARP00000096191
ENSDART00000105432	ENSDARP00000096205
ENSDART00000105435	ENSDARP00000096208
ENSDART00000105440	ENSDARP00000096213
ENSDART00000105457	ENSDARP00000096230
ENSDART00000105503	ENSDARP00000096276
ENSDART00000105514	ENSDARP00000096287
ENSDART00000105523	ENSDARP00000096296
ENSDART00000105526	ENSDARP00000096299
ENSDART00000105550	ENSDARP00000096327
ENSDART00000105561	ENSDARP00000096338
ENSDART00000105564	ENSDARP00000096341
ENSDART00000105566	ENSDARP00000096343
ENSDART00000105583	ENSDARP00000096360
ENSDART00000105584	ENSDARP00000096361
ENSDART00000105588	ENSDARP00000096365
ENSDART00000105597	ENSDARP00000096374
ENSDART00000105602	ENSDARP00000096379
ENSDART00000105604	ENSDARP00000096381
ENSDART00000105608	ENSDARP00000096385
ENSDART00000105658	ENSDARP00000096435
ENSDART00000105667	ENSDARP00000096444
ENSDART00000105678	ENSDARP00000096455
ENSDART00000105680	ENSDARP00000096457
ENSDART00000105692	ENSDARP00000096469
ENSDART00000105698	
ENSDART00000105762	ENSDARP00000096540
ENSDART00000105764	ENSDARP00000096542
ENSDART00000105788	ENSDARP00000096566
ENSDART00000105813	ENSDARP00000096591
ENSDART00000105820	ENSDARP00000096598
ENSDART00000105874	ENSDARP00000096652
ENSDART00000105878	ENSDARP00000096656
ENSDART00000105884	ENSDARP00000096662
ENSDART00000105887	ENSDARP00000096665
ENSDART00000105889	ENSDARP00000096667
ENSDART00000105895	ENSDARP00000096673
ENSDART00000105932	ENSDARP00000096710
ENSDART00000105944	ENSDARP00000096722
ENSDART00000105955	ENSDARP00000096733
ENSDART00000106048	ENSDARP00000096826
ENSDART00000106062	ENSDARP00000096840
